Molecule (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42,cid,is_psychedelic
CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)C1(O)C[C@H](OC)[C@H]2C[C@@H]4C1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]2C[C@@H]([C@@H]13)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
O=C(CCN1CC[C@@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2.O=C(CCN1CC[C@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2,7.0402,193.239,294.451043,77.54,674.838,674.335587,8,0,10,0,8,0,8,50,96,8,4,2,4,0,2,4,4,0,0,0.380952,28.635717,17.991697,13.457009,10.125191,7.307655,17.991697,13.457009,10.125191,7.307655,-4.66,33.819031,16.364672,8.547524,18.947452,87.062376,0.0,0.0,69.361979,97.061873,0.0,0.0,0.0,0.0,22.998047,0.0,28.536526,0.0,9.799819,0.0,37.519099,65.696066,119.315679,0.0,22.998047,11.56649,28.747271,9.589074,0.0,0.0,0.0,60.663671,85.292074,50.147572,0.0,26.427528,34.564537,0.0,0.0,0.0,42,0,0,0,0,0,0,0,2,2,4,50,10,2,0,32,12,0,10,14,8,0,0,0,0,2,4,2,0,30,12,0,0,0,2,6,0,0,0,0,4,2,unknown,1
Cl.O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,4.9211,108.1065,161.790799,49.33,373.924,373.180857,3,2,8,2,2,0,4,26,54,3,2,0,1,0,0,0,2,0,1,0.409091,15.933213,9.36267,6.842716,5.061754,3.744935,9.36267,6.842716,5.061754,3.744935,-1.84,20.471646,10.34306,5.326454,5.316789,17.620589,17.63618,0.0,60.399755,48.530937,0.0,0.0,0.0,0.0,0.0,12.407033,9.901065,0.0,5.316789,0.0,50.987592,6.544756,70.784743,0.0,0.0,18.376338,10.423316,4.794537,0.0,0.0,12.407033,61.37258,54.481849,6.420822,6.041841,0.0,0.0,0.0,0.0,5.969305,22,0,1,0,0,0,0,1,0,2,0,26,9,1,0,11,6,0,8,5,3,2,2,0,0,2,7,1,0,10,5,0,0,0,0,2,1,0,0,0,4,2,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)[C@]34C1[C@H](CC23)[C@@]1(O)CC(OC)[C@H]2CC4C1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](CC23)[C@@]1(O)C[C@H](OC)[C@H]2CC4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
C[C@H](N)C(=O)c1ccccc1.Cl,1.6383,51.6699,78.180736,43.09,185.654,185.060742,2,2,2,1,2,0,3,12,24,1,1,0,0,0,0,0,1,0,0,0.222222,7.674445,3.564166,2.518951,1.47187,0.865311,3.564166,2.518951,1.47187,0.865311,-0.86,11.14,4.906136,2.642064,5.733667,11.825086,0.0,0.0,17.281726,30.331835,0.0,0.0,0.0,0.0,0.0,12.407033,4.794537,0.0,0.0,5.733667,12.965578,0.0,35.895287,0.0,0.0,18.190278,5.733667,4.794537,0.0,0.0,12.407033,30.331835,6.923737,5.563451,6.041841,0.0,5.783245,0.0,0.0,0.0,9,0,1,0,0,0,0,1,0,1,0,12,4,1,0,3,3,0,2,3,2,2,1,0,0,3,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1C(C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)CC(OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
NCC1CC(=O)N(Cc2ccccc2)C1.NCC1CC(=O)N(Cc2ccccc2)C1.O=C(O)/C=C/C(=O)O,1.6994,142.4524,222.071973,167.26,524.618,524.263485,10,6,8,4,6,2,10,38,74,4,2,2,2,0,2,2,2,0,0,0.357143,21.316306,12.388086,9.141232,6.056847,4.079562,12.388086,9.141232,6.056847,4.079562,-4.02,30.205433,15.954002,10.934965,11.467335,69.94487,32.267662,11.835812,23.968546,72.815711,0.0,0.0,0.0,0.0,0.0,0.0,29.391204,0.0,9.799819,23.303147,25.931156,26.179026,83.942614,0.0,0.0,23.75297,31.480209,9.589074,9.589074,0.0,0.0,60.663671,36.052228,51.172709,0.0,0.0,0.0,11.814359,0.0,11.938611,28,0,0,0,0,0,0,2,2,6,0,38,12,5,0,16,6,0,8,16,10,6,4,0,0,8,6,2,0,14,8,0,0,0,2,2,0,0,0,0,0,0,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1,4.6857,78.5977,117.480741,12.03,306.247,305.077912,1,1,2,1,1,0,2,18,38,5,1,4,4,0,0,0,1,4,4,0.625,12.195647,8.091172,7.523411,5.932954,5.163748,7.298174,6.607735,5.404288,4.899416,-0.5,11.337002,4.261354,1.892219,5.316789,6.041841,0.0,23.671624,32.104108,28.738188,0.0,0.0,0.0,5.687386,0.0,15.929944,0.0,0.0,0.0,23.671624,38.145949,5.316789,28.738188,0.0,0.0,21.61733,5.316789,0.0,0.0,0.0,0.0,15.929944,80.041201,16.201947,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,1,0,0,0,1,0,0,0,18,3,0,0,15,3,0,2,1,1,1,1,0,0,1,1,0,0,9,7,0,0,0,0,5,0,0,0,0,10,12,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
C[C@@H](N)C(=O)c1ccccc1.Cl,1.6383,51.6699,78.180736,43.09,185.654,185.060742,2,2,2,1,2,0,3,12,24,1,1,0,0,0,0,0,1,0,0,0.222222,7.674445,3.564166,2.518951,1.47187,0.865311,3.564166,2.518951,1.47187,0.865311,-0.86,11.14,4.906136,2.642064,5.733667,11.825086,0.0,0.0,17.281726,30.331835,0.0,0.0,0.0,0.0,0.0,12.407033,4.794537,0.0,0.0,5.733667,12.965578,0.0,35.895287,0.0,0.0,18.190278,5.733667,4.794537,0.0,0.0,12.407033,30.331835,6.923737,5.563451,6.041841,0.0,5.783245,0.0,0.0,0.0,9,0,1,0,0,0,0,1,0,1,0,12,4,1,0,3,3,0,2,3,2,2,1,0,0,3,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCc1nc(C)ccc1O.Cl,2.07982,47.2648,72.693204,33.12,173.643,173.060742,2,1,1,1,2,0,3,11,23,1,1,0,0,1,0,0,0,0,0,0.375,7.480979,3.392164,2.272006,1.424276,0.863325,3.392164,2.272006,1.424276,0.863325,-0.76,10.24,4.187584,2.388521,0.0,10.090506,6.420822,6.923737,18.311593,12.132734,0.0,0.0,0.0,0.0,5.749512,12.407033,5.106527,0.0,4.983979,0.0,20.268296,0.0,23.52059,0.0,5.749512,12.407033,5.106527,4.983979,0.0,0.0,12.407033,6.923737,25.477293,5.693928,5.693928,5.749512,0.0,0.0,0.0,0.0,8,0,1,0,0,0,0,0,1,1,0,11,4,0,0,3,3,0,1,3,2,1,1,0,0,3,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCc1nc(C)ccc1O.O=C(O)CCC(=O)O,1.59382,64.5224,104.917223,107.72,255.27,255.110673,6,3,4,3,4,0,6,18,35,1,1,0,0,1,0,0,0,0,0,0.416667,10.381372,5.454733,3.559483,1.977007,1.07719,5.454733,3.559483,1.977007,1.07719,-2.11,15.89,8.05073,7.210866,0.0,32.242171,16.009896,6.923737,31.153236,12.132734,0.0,0.0,0.0,0.0,5.749512,0.0,24.908657,0.0,4.983979,0.0,33.109939,0.0,23.52059,0.0,5.749512,11.938611,15.319582,14.573053,0.0,0.0,0.0,6.923737,25.477293,5.693928,18.535571,5.749512,0.0,0.0,0.0,11.938611,12,0,0,0,0,0,0,0,1,5,0,18,9,2,0,3,3,0,4,11,6,3,3,0,0,7,3,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(C[C@@H]32)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCc1nc(C)ccc1O,1.65802,40.0168,60.540111,33.12,137.182,137.084064,2,1,1,1,2,0,2,10,21,1,1,0,0,1,0,0,0,0,0,0.375,6.256235,3.392164,2.272006,1.424276,0.863325,3.392164,2.272006,1.424276,0.863325,-1.05,7.061732,2.689063,1.264359,0.0,10.090506,6.420822,6.923737,18.311593,12.132734,0.0,0.0,0.0,0.0,5.749512,0.0,5.106527,0.0,4.983979,0.0,20.268296,0.0,23.52059,0.0,5.749512,0.0,5.106527,4.983979,0.0,0.0,0.0,6.923737,25.477293,5.693928,5.693928,5.749512,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,1,0,10,4,0,0,3,3,0,1,3,2,1,1,0,0,3,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2,5.1162,117.2027,175.761316,61.88,413.543,413.177313,6,1,7,1,5,2,7,29,56,3,2,0,1,0,0,1,2,0,0,0.363636,17.920903,10.785554,7.687569,5.96374,4.330025,9.969057,6.603792,4.833471,3.29173,-2.51,21.204925,9.803319,4.91576,10.216698,43.141481,9.5314,0.0,27.192033,52.255536,0.0,0.0,0.0,21.856696,0.0,11.761885,14.325937,0.0,4.89991,0.0,36.983,36.45785,42.464569,0.0,0.0,40.824464,9.636773,15.011236,4.794537,0.0,0.0,37.742093,50.345085,28.443931,17.981655,0.0,0.0,5.90718,0.0,6.09324,22,0,0,0,0,1,0,2,1,3,0,29,13,2,0,10,6,0,7,9,6,1,1,0,0,5,7,3,0,8,6,0,0,0,0,3,0,0,0,0,4,2,unknown,1
CC(N)C(=O)c1ccccc1,1.2165,44.4219,66.027642,43.09,149.193,149.084064,2,2,2,1,2,0,2,11,22,1,1,0,0,0,0,0,1,0,0,0.222222,6.4497,3.564166,2.518951,1.47187,0.865311,3.564166,2.518951,1.47187,0.865311,-1.15,7.951523,3.302755,1.883092,5.733667,11.825086,0.0,0.0,17.281726,30.331835,0.0,0.0,0.0,0.0,0.0,0.0,4.794537,0.0,0.0,5.733667,12.965578,0.0,35.895287,0.0,0.0,5.783245,5.733667,4.794537,0.0,0.0,0.0,30.331835,6.923737,5.563451,6.041841,0.0,5.783245,0.0,0.0,0.0,9,0,0,0,0,0,0,1,0,1,0,11,4,1,0,3,3,0,2,3,2,2,1,0,0,3,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2.Cl,4.0017,113.8847,171.426357,61.88,403.91,403.166269,6,1,4,1,4,2,7,28,54,3,2,0,1,0,0,1,2,0,0,0.333333,17.213796,9.115674,6.784606,4.445117,3.295602,9.115674,6.784606,4.445117,3.295602,-2.57,21.72696,9.572566,4.82447,10.216698,44.147312,22.373043,0.0,18.05064,42.464569,0.0,0.0,0.0,21.856696,0.0,12.407033,14.325937,0.0,4.89991,0.0,19.76538,37.463681,53.591472,0.0,0.0,41.469612,9.636773,15.011236,4.794537,0.0,12.407033,24.265468,63.186729,5.687386,24.526411,0.0,0.0,5.90718,0.0,6.09324,21,0,1,0,0,0,0,2,1,3,0,28,10,2,0,11,6,0,4,9,6,1,1,0,0,5,4,3,0,9,6,0,0,0,0,2,1,0,0,0,4,2,unknown,1
Cl.Cl.c1ccc(N2CCNCC2)cc1,1.9398,66.0207,97.501223,15.27,235.158,234.069054,2,1,1,1,2,0,4,14,30,2,1,1,1,0,1,1,1,0,0,0.4,9.611882,4.473853,3.072597,2.238337,1.561846,4.473853,3.072597,2.238337,1.561846,-0.44,13.56,6.93244,3.369364,10.216698,26.179026,0.0,0.0,0.0,30.331835,0.0,0.0,0.0,5.687386,0.0,24.814066,0.0,0.0,5.316789,0.0,0.0,31.078935,30.331835,0.0,0.0,30.501453,10.216698,0.0,0.0,0.0,24.814066,18.199101,12.132734,31.866412,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,0,0,0,0,0,2,0,0,14,1,0,0,9,3,0,1,2,2,1,1,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,unknown,1
Cl.c1ccc(N2CCNCC2)cc1,1.518,58.7727,85.34813,15.27,198.697,198.092376,2,1,1,1,2,0,3,13,28,2,1,1,1,0,1,1,1,0,0,0.4,8.387137,4.473853,3.072597,2.238337,1.561846,4.473853,3.072597,2.238337,1.561846,-0.73,10.3515,5.097846,2.608074,10.216698,26.179026,0.0,0.0,0.0,30.331835,0.0,0.0,0.0,5.687386,0.0,12.407033,0.0,0.0,5.316789,0.0,0.0,31.078935,30.331835,0.0,0.0,18.094419,10.216698,0.0,0.0,0.0,12.407033,18.199101,12.132734,31.866412,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1,0,0,0,0,0,2,0,0,13,1,0,0,9,3,0,1,2,2,1,1,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,unknown,1
CCOC(=O)CC[C@H](N)C(=O)OCC,0.2201,50.4754,83.548813,78.62,203.238,203.115758,5,2,6,1,5,0,5,14,31,0,0,0,0,0,0,0,0,0,0,0.777778,8.616121,4.691871,2.702238,1.554137,0.873658,4.691871,2.702238,1.554137,0.873658,-1.1,12.9,7.317628,5.529263,5.733667,31.194215,19.0628,0.0,26.689118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0628,0.0,0.0,5.733667,32.730958,13.213764,0.0,0.0,0.0,11.938611,15.207393,9.589074,0.0,0.0,0.0,0.0,20.268296,6.420822,13.213764,6.041841,0.0,0.0,0.0,11.938611,9,0,0,0,0,0,0,1,0,4,0,14,11,2,0,0,0,0,6,9,5,2,1,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1
CCOC(=O)CC[C@H](N)C(=O)OCC.Cl,0.6419,57.7234,95.701907,78.62,239.699,239.092436,5,2,6,1,5,0,6,15,33,0,0,0,0,0,0,0,0,0,0,0.777778,9.840866,4.691871,2.702238,1.554137,0.873658,4.691871,2.702238,1.554137,0.873658,-0.81,16.613632,9.733912,8.202386,5.733667,31.194215,19.0628,0.0,26.689118,0.0,0.0,0.0,0.0,0.0,0.0,12.407033,19.0628,0.0,0.0,5.733667,32.730958,13.213764,0.0,0.0,0.0,24.345644,15.207393,9.589074,0.0,0.0,12.407033,0.0,20.268296,6.420822,13.213764,6.041841,0.0,0.0,0.0,11.938611,9,0,1,0,0,0,0,1,0,4,0,15,11,2,0,0,0,0,6,9,5,2,1,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,1
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1.Cl,4.6458,118.2107,183.212245,35.58,437.962,437.204547,4,1,7,1,2,2,7,30,60,3,2,1,1,0,1,1,2,0,0,0.434783,18.136356,10.325827,7.462088,5.499395,3.872575,10.325827,7.462088,5.499395,3.872575,-2.18,24.092769,11.864794,6.673663,5.316789,55.099472,0.0,11.634442,36.810189,48.530937,0.0,0.0,0.0,13.575367,0.0,12.407033,13.575367,0.0,15.116608,0.0,25.683286,39.268538,71.292281,0.0,0.0,18.438148,10.216698,4.89991,13.575367,0.0,12.407033,24.265468,61.702508,38.641688,0.0,11.634442,0.0,0.0,0.0,6.031115,23,2,1,0,0,0,0,1,2,1,0,30,12,1,0,12,6,0,7,5,4,1,1,0,0,4,5,2,0,12,6,0,0,0,0,3,0,0,0,0,0,0,unknown,1
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4.224,110.9627,171.059152,35.58,401.501,401.227869,4,1,7,1,2,2,6,29,58,3,2,1,1,0,1,1,2,0,0,0.434783,16.911611,10.325827,7.462088,5.499395,3.872575,10.325827,7.462088,5.499395,3.872575,-2.47,21.243953,10.347797,6.001697,5.316789,55.099472,0.0,11.634442,36.810189,48.530937,0.0,0.0,0.0,13.575367,0.0,0.0,13.575367,0.0,15.116608,0.0,25.683286,39.268538,71.292281,0.0,0.0,6.031115,10.216698,4.89991,13.575367,0.0,0.0,24.265468,61.702508,38.641688,0.0,11.634442,0.0,0.0,0.0,6.031115,23,2,0,0,0,0,0,1,2,1,0,29,12,1,0,12,6,0,7,5,4,1,1,0,0,4,5,2,0,12,6,0,0,0,0,3,0,0,0,0,0,0,unknown,1
CCCCCCOc1nsnc1C1=CCCN(C)C1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0935,106.9222,173.316071,153.31,431.511,431.172621,10,4,10,4,9,0,11,29,58,2,1,0,1,1,0,1,0,0,0,0.666667,17.46889,10.155254,7.177523,4.657879,3.03535,9.424957,6.649076,4.146183,2.504198,-2.08,24.957147,13.200264,8.856989,4.736863,84.963709,9.589074,0.0,44.721773,6.07602,0.0,5.573105,0.0,0.0,5.879988,11.728187,34.752047,0.0,13.64699,0.0,51.235778,26.744067,11.769948,0.0,5.879988,29.239902,30.062882,0.0,9.589074,4.37354,4.37354,32.262222,25.46242,13.089513,18.335069,5.693928,12.207933,0.0,5.879988,11.938611,18,0,0,0,0,1,0,0,3,7,0,29,16,2,0,8,3,0,10,17,10,4,4,0,0,8,6,4,0,7,4,0,0,0,1,1,0,0,0,0,0,0,unknown,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(C)C)c1ccccc1CC2,3.5799,106.6367,159.273264,61.88,367.449,367.189592,6,1,4,1,4,2,6,27,52,3,2,0,1,0,0,1,2,0,0,0.333333,15.989051,9.115674,6.784606,4.445117,3.295602,9.115674,6.784606,4.445117,3.295602,-2.86,18.917024,8.223085,4.282556,10.216698,44.147312,22.373043,0.0,18.05064,42.464569,0.0,0.0,0.0,21.856696,0.0,0.0,14.325937,0.0,4.89991,0.0,19.76538,37.463681,53.591472,0.0,0.0,29.062579,9.636773,15.011236,4.794537,0.0,0.0,24.265468,63.186729,5.687386,24.526411,0.0,0.0,5.90718,0.0,6.09324,21,0,0,0,0,0,0,2,1,3,0,27,10,2,0,11,6,0,4,9,6,1,1,0,0,5,4,3,0,9,6,0,0,0,0,2,1,0,0,0,4,2,unknown,1
